NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW
NS22830T,31200,35,1,1,2,1,1,2,1,15,1,1,1,0,0,2,0,1,2,0,1,1,2,5,2,1,2,3,0,2,2,1,2,2,2,9,4,4,2,10,1,2,1,1,1,1,4,2,384.76
NS22106B,23000,37,1,1,2,1,1,2,1,11,1,1,1,0,0,2,0,0,2,0,1,1,2,4,2,2,2,3,5,2,3,2,2,1,2,9,4,4,2,14,0,0,1,1,1,1,2,2,384.76
NS23415X,10816,27,2,1,1,0,1,2,1,-98,-98,2,-98,0,0,1,1,0,4,1,3,1,2,1,1,1,2,3,2,2,3,2,1,-91,-91,1,4,4,2,13,1,5,1,1,1,2,4,2,384.76
NS16190T,8954.4,29,1,1,1,1,1,2,1,15,1,1,1,0,0,2,0,0,2,0,5,1,3,2,2,1,1,3,5,-92,3,1,1,-91,-91,1,4,4,2,14,1,0,2,1,1,2,2,1,384.76
NS24486F,4659.2,41,2,1,2,2,1,2,1,-99,1,2,1,0,2,1,0,0,2,0,-99,1,2,3,-1,2,2,3,0,2,2,1,2,2,2,9,4,4,2,11,-1,0,1,1,1,2,7,2,384.76
NS24202Q,3910.4,42,2,1,1,2,1,1,1,13,1,2,1,0,1,2,0,0,2,0,4,1,3,3,2,2,2,3,0,1,1,1,2,1,1,9,4,4,2,11,0,8,1,1,1,1,7,3,384.76
NS14237V,2990,31,2,1,2,0,1,2,1,13,1,2,1,0,1,1,0,0,2,0,5,1,1,4,2,2,2,3,6,2,3,1,1,-91,-91,1,4,4,2,12,1,2,1,1,1,2,7,1,384.76
NS21552H,2640,23,2,1,2,1,1,2,1,13,1,2,1,0,1,2,1,0,2,0,5,1,3,5,2,1,1,3,0,2,1,2,2,2,2,9,4,4,2,9,-1,0,1,1,1,1,4,5,384.76
NS11603D,-1,39,2,1,1,0,1,5,1,-98,-98,2,-98,0,0,1,0,0,1,1,7,1,1,4,2,1,1,3,0,2,1,2,1,-91,-91,1,4,4,2,17,1,5,1,1,1,2,4,2,384.76
NS23862A,-91,40,5,2,2,2,1,1,2,20,3,3,3,0,1,2,0,0,2,0,8,4,1,4,2,2,2,3,2,-1,3,2,2,2,2,9,4,4,2,14,-1,0,2,1,1,1,7,2,384.76
NS24998N,-91,41,10,1,2,0,1,2,1,20,2,3,2,0,0,1,0,0,2,0,-99,4,2,2,2,2,1,3,1,2,2,1,2,1,2,9,4,4,2,12,-1,6,1,1,1,2,1,2,384.76
NS21148L,-91,-97,10,1,2,2,1,1,1,15,1,3,1,0,1,2,0,0,2,0,4,3,2,1,-97,-97,-97,3,6,1,3,1,1,-91,-91,1,4,4,2,17,0,6,2,1,1,2,4,2,384.76
NS20966V,55000,40,1,1,2,1,1,2,1,1,1,3,1,0,0,2,0,0,2,0,2,1,1,0,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,10,-1,0,1,1,1,1,4,1,384.99
